Code,Baggage_sabre,Seats_sabre,Meals_sabre,Seats_travelport,Baggage_travelport,Meals_travelport
JP,1,0,0,0.0,0.0,0.0
A3,1,1,0,0.0,1.0,0.0
SU,0,0,0,0.0,0.0,0.0
AR,1,0,0,0.0,0.0,0.0
AM,1,1,0,1.0,1.0,0.0
ZI,1,1,0,0.0,1.0,0.0
KC,0,1,0,0.0,0.0,0.0
UU,1,1,1,0.0,0.0,0.0
BT,1,1,1,0.0,1.0,1.0
AC,0,1,0,1.0,0.0,0.0
TX,1,1,1,1.0,1.0,1.0
CA,1,1,0,0.0,0.0,0.0
EN,1,0,0,0.0,0.0,0.0
UX,1,1,0,0.0,0.0,0.0
AF,1,1,0,1.0,1.0,0.0
AI,1,1,0,1.0,0.0,0.0
IG,1,1,1,1.0,1.0,0.0
KM,1,0,0,0.0,0.0,0.0
MK,1,1,0,1.0,0.0,0.0
9U,1,0,0,0.0,0.0,0.0
SW,1,0,0,0.0,0.0,0.0
NZ,1,1,0,1.0,1.0,0.0
JU,1,1,0,0.0,0.0,0.0
TN,0,0,1,0.0,0.0,0.0
TS,0,0,0,0.0,0.0,0.0
AZ,1,1,0,1.0,1.0,0.0
NH,0,0,0,0.0,0.0,0.0
AA,0,1,0,0.0,0.0,0.0
OZ,0,1,0,1.0,0.0,0.0
KK,1,0,1,0.0,1.0,1.0
OS,1,1,0,1.0,1.0,0.0
AV,1,1,0,0.0,1.0,0.0
O6,0,0,0,0.0,0.0,0.0
LR,1,0,0,0.0,0.0,0.0
2K,1,0,0,0.0,0.0,0.0
J2,0,0,1,0.0,1.0,1.0
AD,0,0,0,0.0,0.0,0.0
BM,0,0,0,0.0,0.0,0.0
TF,0,0,0,0.0,0.0,0.0
BA,0,0,0,0.0,0.0,0.0
SN,1,1,1,0.0,1.0,0.0
KA,0,1,0,1.0,0.0,0.0
CX,0,1,0,1.0,1.0,0.0
CY,1,1,0,0.0,0.0,0.0
CI,0,0,0,1.0,0.0,0.0
CZ,1,0,0,0.0,0.0,0.0
CO,0,1,0,0.0,0.0,0.0
DE,1,1,1,1.0,0.0,0.0
SS,1,1,1,1.0,1.0,1.0
OU,1,0,0,0.0,0.0,0.0
OK,1,1,1,1.0,1.0,1.0
DL,0,0,0,1.0,0.0,0.0
U2,1,1,0,1.0,1.0,0.0
LY,1,1,0,1.0,1.0,0.0
EK,1,1,1,1.0,0.0,0.0
EY,1,1,0,1.0,1.0,0.0
FJ,1,0,0,0.0,0.0,0.0
AY,1,1,0,1.0,1.0,1.0
BE,1,0,0,0.0,1.0,0.0
F9,1,0,0,0.0,0.0,0.0
GA,0,1,0,0.0,0.0,0.0
4U,1,0,1,0.0,0.0,0.0
GF,1,1,0,0.0,0.0,0.0
HR,1,0,0,0.0,0.0,0.0
H1,1,0,0,0.0,0.0,0.0
HU,1,0,0,0.0,0.0,0.0
HA,0,1,0,1.0,0.0,0.0
HX,0,0,0,0.0,0.0,0.0
IB,1,1,0,0.0,1.0,0.0
FI,1,1,1,0.0,1.0,1.0
9W,1,1,0,1.0,0.0,0.0
KQ,1,0,0,0.0,0.0,0.0
KL,1,1,0,1.0,1.0,0.0
KE,0,0,0,0.0,0.0,0.0
4M,1,1,0,0.0,0.0,0.0
JJ,1,1,0,0.0,1.0,0.0
4C,1,1,0,0.0,0.0,0.0
XL,1,1,0,0.0,0.0,0.0
LA,1,1,0,0.0,0.0,0.0
LP,1,1,0,0.0,0.0,0.0
LO,1,1,1,1.0,1.0,1.0
LH,1,1,0,1.0,1.0,0.0
LG,1,1,0,0.0,1.0,0.0
MH,0,1,0,1.0,0.0,0.0
OM,1,0,0,0.0,0.0,0.0
WY,1,1,0,0.0,1.0,0.0
8Q,0,0,1,0.0,0.0,0.0
PC,1,1,1,1.0,1.0,1.0
PR,1,1,0,0.0,1.0,0.0
PD,0,0,0,0.0,0.0,0.0
QF,1,1,0,1.0,1.0,0.0
AT,1,0,0,0.0,0.0,0.0
BI,1,1,0,0.0,0.0,0.0
RJ,1,1,0,0.0,0.0,0.0
7R,1,0,0,0.0,0.0,0.0
FR,1,1,0,1.0,1.0,0.0
S7,1,1,1,0.0,1.0,1.0
S4,0,1,0,0.0,0.0,0.0
6S,1,0,1,0.0,0.0,0.0
SK,1,1,1,1.0,1.0,1.0
SA,1,1,0,1.0,1.0,0.0
NK,1,0,0,0.0,0.0,0.0
UL,1,0,1,0.0,1.0,1.0
LX,1,1,0,0.0,0.0,0.0
TA,1,0,0,0.0,0.0,0.0
T0,1,0,0,0.0,0.0,0.0
TP,1,1,1,1.0,1.0,1.0
MT,1,1,1,0.0,0.0,0.0
TO,1,1,0,0.0,0.0,0.0
HV,1,1,0,1.0,1.0,0.0
TK,1,0,0,0.0,0.0,0.0
PS,1,1,1,1.0,1.0,1.0
UA,0,1,0,1.0,0.0,0.0
U6,0,1,1,0.0,0.0,0.0
UT,0,0,0,0.0,0.0,0.0
VS,0,0,0,0.0,0.0,0.0
VA,1,1,0,1.0,1.0,0.0
UK,0,0,0,0.0,0.0,0.0
WS,0,1,0,1.0,0.0,0.0
WF,0,0,0,0.0,0.0,0.0
